SystemStatusCode,SystemStatusName,GMGLeafCode,GMGLeafName,StatusFamily,GMGPath,GMG_L1_Code,GMG_L1_Name,GMG_L2_Code,GMG_L2_Name,GMG_L3_Code,GMG_L3_Name,GMG_L4_Code,GMG_L4_Name,GMG_L5_Code,GMG_L5_Name,IsScheduled,IsAvailable,IsOperating,IsWorking,IsProductive,IsStandby,IsDowntime,IsDelay,SortOrder
UT_OFF,Unscheduled / off roster,UT,Unscheduled Time,Unscheduled,CT > UT,UT,Unscheduled Time,,,,,,,,,0,0,0,0,0,0,0,0,10
DT_PM,Planned maintenance,DT,Downtime,Planned Maintenance,CT > ST > DT,ST,Scheduled Time,DT,Downtime,,,,,,,1,0,0,0,0,0,1,0,20
DT_BD_HYD,Hydraulic breakdown,DT,Downtime,Breakdown,CT > ST > DT,ST,Scheduled Time,DT,Downtime,,,,,,,1,0,0,0,0,0,1,0,31
DT_BD_ELE,Electrical breakdown,DT,Downtime,Breakdown,CT > ST > DT,ST,Scheduled Time,DT,Downtime,,,,,,,1,0,0,0,0,0,1,0,32
DT_BD_TYR,Tyres / tracks breakdown,DT,Downtime,Breakdown,CT > ST > DT,ST,Scheduled Time,DT,Downtime,,,,,,,1,0,0,0,0,0,1,0,33
DT_BD_ENG,Engine breakdown,DT,Downtime,Breakdown,CT > ST > DT,ST,Scheduled Time,DT,Downtime,,,,,,,1,0,0,0,0,0,1,0,34
DT_BD_BRK,Brakes breakdown,DT,Downtime,Breakdown,CT > ST > DT,ST,Scheduled Time,DT,Downtime,,,,,,,1,0,0,0,0,0,1,0,35
DT_BD_TRN,Transmission breakdown,DT,Downtime,Breakdown,CT > ST > DT,ST,Scheduled Time,DT,Downtime,,,,,,,1,0,0,0,0,0,1,0,36
DT_BD_STR,Structural breakdown,DT,Downtime,Breakdown,CT > ST > DT,ST,Scheduled Time,DT,Downtime,,,,,,,1,0,0,0,0,0,1,0,37
DT_BD_SVC,Service-related breakdown,DT,Downtime,Breakdown,CT > ST > DT,ST,Scheduled Time,DT,Downtime,,,,,,,1,0,0,0,0,0,1,0,38
