ReadingID,DateKey,ReadingTimestamp,UnitCode,SMUHours,ConditionIndex,HydraulicOilTempC,FeParticlesPPM,BrakeTestDaysOverdue,VibrationIndex,ActiveAlertCount,SourceSystem
CM-0000001,20251001,2025-10-01 08:00:00,TR-001,13549.8,0.838,82.5,38.4,0,0.544,0,PI-SIM
CM-0000002,20251001,2025-10-01 08:00:00,TR-002,17234.3,0.707,93.5,47.5,0,0.799,0,PI-SIM
CM-0000003,20251001,2025-10-01 08:00:00,TR-003,11847.3,0.714,83.6,48.4,0,0.806,0,PI-SIM
CM-0000004,20251001,2025-10-01 08:00:00,TR-004,6672.7,0.786,89.1,40.6,0,0.741,0,PI-SIM
CM-0000005,20251001,2025-10-01 08:00:00,TR-005,9030.3,0.857,88.2,33.4,0,0.476,0,PI-SIM
CM-0000006,20251001,2025-10-01 08:00:00,TR-006,11104.7,0.796,89.1,28.9,0,0.63,0,PI-SIM
CM-0000007,20251001,2025-10-01 08:00:00,TR-007,16964.6,0.752,89.4,44.5,0,0.532,0,PI-SIM
CM-0000008,20251001,2025-10-01 08:00:00,TR-008,11928.1,0.84,88.9,24.1,0,0.714,0,PI-SIM
CM-0000009,20251001,2025-10-01 08:00:00,TR-009,8293.5,0.823,94.1,26.6,0,0.721,0,PI-SIM
CM-0000010,20251001,2025-10-01 08:00:00,TR-010,9048.8,0.755,88.7,42.8,0,0.721,0,PI-SIM
CM-0000011,20251001,2025-10-01 08:00:00,TR-011,13882.6,0.729,94.4,52.8,0,0.707,0,PI-SIM
CM-0000012,20251001,2025-10-01 08:00:00,TR-012,16043.2,0.812,89.0,25.7,0,0.496,0,PI-SIM
CM-0000013,20251001,2025-10-01 08:00:00,LH-001,14946.2,0.735,88.8,43.5,0,0.617,0,PI-SIM
CM-0000014,20251001,2025-10-01 08:00:00,LH-002,10706.8,0.728,89.0,48.5,0,0.772,0,PI-SIM
CM-0000015,20251001,2025-10-01 08:00:00,LH-003,10357.4,0.759,90.4,53.6,0,0.668,0,PI-SIM
CM-0000016,20251001,2025-10-01 08:00:00,LH-004,14735.6,0.741,87.1,48.5,0,0.77,0,PI-SIM
