FailureID,FailureTimestamp,DateKey,UnitCode,ComponentID,FailureMode,WorkOrderID,RepairStart,RepairEnd,ActiveRepairHours,LogisticsWaitHours,TotalDownHours,SMUHours,FailureCode,SourceSystem
F-000001,2025-10-04 01:30:00,20251004,TR-001,CMP-ENG,Turbo fault,WO-000001,2025-10-04 03:21:02,2025-10-04 09:23:38,6.04,1.85,7.89,8061.6,ENG-13,CMMS-SIM
F-000002,2025-10-04 10:00:00,20251004,TR-001,CMP-TYR,Track tension failure,WO-000002,2025-10-04 10:30:00,2025-10-04 23:27:37,12.96,0.5,13.46,8114.9,TYR-18,CMMS-SIM
F-000003,2025-10-07 01:30:00,20251007,TR-001,CMP-ELE,Harness damage,WO-000004,2025-10-07 03:27:11,2025-10-07 18:11:00,14.73,1.95,16.68,8145.6,ELE-52,CMMS-SIM
F-000004,2025-10-08 07:30:00,20251008,TR-001,CMP-HYD,Hose burst,WO-000005,2025-10-08 07:54:55,2025-10-08 10:43:02,2.8,0.42,3.22,8221.9,HYD-08,CMMS-SIM
F-000005,2025-10-08 16:00:00,20251008,TR-001,CMP-HYD,Boom cylinder seal leak,WO-000006,2025-10-08 17:33:59,2025-10-08 20:24:46,2.85,1.57,4.41,8282.8,HYD-55,CMMS-SIM
F-000006,2025-10-12 01:30:00,20251012,TR-001,CMP-HYD,Boom cylinder seal leak,WO-000007,2025-10-12 04:38:12,2025-10-12 10:26:44,5.81,3.14,8.95,8308.0,HYD-69,CMMS-SIM
F-000007,2025-10-12 07:30:00,20251012,TR-001,CMP-ELE,Lighting circuit fault,WO-000008,2025-10-12 09:21:44,2025-10-12 12:34:58,3.22,1.86,5.08,8320.3,ELE-41,CMMS-SIM
F-000008,2025-10-15 12:30:00,20251015,TR-001,CMP-ELE,Lighting circuit fault,WO-000009,2025-10-15 13:02:03,2025-10-15 14:45:23,1.72,0.53,2.26,8409.0,ELE-50,CMMS-SIM
F-000009,2025-10-18 05:00:00,20251018,TR-001,CMP-HYD,Boom cylinder seal leak,WO-000011,2025-10-18 05:25:28,2025-10-18 09:38:47,4.22,0.42,4.65,8422.8,HYD-05,CMMS-SIM
F-000010,2025-10-24 10:30:00,20251024,TR-001,CMP-BRK,Brake wear alarm,WO-000015,2025-10-24 10:48:03,2025-10-24 16:46:20,5.97,0.3,6.27,8480.0,BRK-80,CMMS-SIM
