PlanRecordID,FiscalYear,FiscalMonthNumber,MonthStart,ActivityID,PlanQuantity,TargetPA,TargetUoA,TargetWorkingEfficiency,TargetProductiveShareOfWorking,TargetRatePerWorkingHour,PlanScheduledHours,SourceSystem
PLAN-0001,2026,1,2025-10-01,ACT-HAUL,405428.57,0.9,0.72,0.82,0.92,92.0,8175.34,Planning-SIM
PLAN-0002,2026,1,2025-10-01,ACT-LOAD,303428.57,,,,,,,Planning-SIM
PLAN-0003,2026,1,2025-10-01,ACT-DEV,965.14,,,,,,,Planning-SIM
PLAN-0004,2026,1,2025-10-01,ACT-GS,829.71,,,,,,,Planning-SIM
PLAN-0005,2026,1,2025-10-01,ACT-AUX,666.0,,,,,,,Planning-SIM
PLAN-0006,2026,2,2025-11-01,ACT-HAUL,400602.04,0.9,0.72,0.82,0.92,92.0,7911.62,Planning-SIM
PLAN-0007,2026,2,2025-11-01,ACT-LOAD,299816.33,,,,,,,Planning-SIM
PLAN-0008,2026,2,2025-11-01,ACT-DEV,953.65,,,,,,,Planning-SIM
PLAN-0009,2026,2,2025-11-01,ACT-GS,819.84,,,,,,,Planning-SIM
PLAN-0010,2026,2,2025-11-01,ACT-AUX,658.07,,,,,,,Planning-SIM
PLAN-0011,2026,3,2025-12-01,ACT-HAUL,415081.63,0.9,0.72,0.82,0.92,92.0,8175.34,Planning-SIM
PLAN-0012,2026,3,2025-12-01,ACT-LOAD,310653.06,,,,,,,Planning-SIM
PLAN-0013,2026,3,2025-12-01,ACT-DEV,988.12,,,,,,,Planning-SIM
PLAN-0014,2026,3,2025-12-01,ACT-GS,849.47,,,,,,,Planning-SIM
PLAN-0015,2026,3,2025-12-01,ACT-AUX,681.86,,,,,,,Planning-SIM
PLAN-0016,2026,4,2026-01-01,ACT-HAUL,386122.45,0.9,0.72,0.82,0.92,92.0,8175.34,Planning-SIM
PLAN-0017,2026,4,2026-01-01,ACT-LOAD,288979.59,,,,,,,Planning-SIM
PLAN-0018,2026,4,2026-01-01,ACT-DEV,919.18,,,,,,,Planning-SIM
PLAN-0019,2026,4,2026-01-01,ACT-GS,790.2,,,,,,,Planning-SIM
PLAN-0020,2026,4,2026-01-01,ACT-AUX,634.29,,,,,,,Planning-SIM
PLAN-0021,2026,5,2026-02-01,ACT-HAUL,390948.98,0.9,0.72,0.82,0.92,92.0,7384.18,Planning-SIM
PLAN-0022,2026,5,2026-02-01,ACT-LOAD,292591.84,,,,,,,Planning-SIM
PLAN-0023,2026,5,2026-02-01,ACT-DEV,930.67,,,,,,,Planning-SIM
PLAN-0024,2026,5,2026-02-01,ACT-GS,800.08,,,,,,,Planning-SIM
PLAN-0025,2026,5,2026-02-01,ACT-AUX,642.21,,,,,,,Planning-SIM
PLAN-0026,2026,6,2026-03-01,ACT-HAUL,381295.92,0.9,0.72,0.82,0.92,92.0,8175.34,Planning-SIM
PLAN-0027,2026,6,2026-03-01,ACT-LOAD,285367.35,,,,,,,Planning-SIM
PLAN-0028,2026,6,2026-03-01,ACT-DEV,907.69,,,,,,,Planning-SIM
PLAN-0029,2026,6,2026-03-01,ACT-GS,780.33,,,,,,,Planning-SIM
PLAN-0030,2026,6,2026-03-01,ACT-AUX,626.36,,,,,,,Planning-SIM
PLAN-0031,2026,7,2026-04-01,ACT-HAUL,371642.86,0.9,0.72,0.82,0.92,92.0,7911.62,Planning-SIM
PLAN-0032,2026,7,2026-04-01,ACT-LOAD,278142.86,,,,,,,Planning-SIM
PLAN-0033,2026,7,2026-04-01,ACT-DEV,884.71,,,,,,,Planning-SIM
PLAN-0034,2026,7,2026-04-01,ACT-GS,760.57,,,,,,,Planning-SIM
PLAN-0035,2026,7,2026-04-01,ACT-AUX,610.5,,,,,,,Planning-SIM
PLAN-0036,2026,8,2026-05-01,ACT-HAUL,405428.57,0.9,0.72,0.82,0.92,92.0,8175.34,Planning-SIM
PLAN-0037,2026,8,2026-05-01,ACT-LOAD,303428.57,,,,,,,Planning-SIM
PLAN-0038,2026,8,2026-05-01,ACT-DEV,965.14,,,,,,,Planning-SIM
PLAN-0039,2026,8,2026-05-01,ACT-GS,829.71,,,,,,,Planning-SIM
PLAN-0040,2026,8,2026-05-01,ACT-AUX,666.0,,,,,,,Planning-SIM
PLAN-0041,2026,9,2026-06-01,ACT-HAUL,390948.98,0.9,0.72,0.82,0.92,92.0,7911.62,Planning-SIM
PLAN-0042,2026,9,2026-06-01,ACT-LOAD,292591.84,,,,,,,Planning-SIM
PLAN-0043,2026,9,2026-06-01,ACT-DEV,930.67,,,,,,,Planning-SIM
PLAN-0044,2026,9,2026-06-01,ACT-GS,800.08,,,,,,,Planning-SIM
PLAN-0045,2026,9,2026-06-01,ACT-AUX,642.21,,,,,,,Planning-SIM
PLAN-0046,2026,10,2026-07-01,ACT-HAUL,395775.51,0.9,0.72,0.82,0.92,92.0,8175.34,Planning-SIM
PLAN-0047,2026,10,2026-07-01,ACT-LOAD,296204.08,,,,,,,Planning-SIM
PLAN-0048,2026,10,2026-07-01,ACT-DEV,942.16,,,,,,,Planning-SIM
PLAN-0049,2026,10,2026-07-01,ACT-GS,809.96,,,,,,,Planning-SIM
PLAN-0050,2026,10,2026-07-01,ACT-AUX,650.14,,,,,,,Planning-SIM
PLAN-0051,2026,11,2026-08-01,ACT-HAUL,390948.98,0.9,0.72,0.82,0.92,92.0,8175.34,Planning-SIM
PLAN-0052,2026,11,2026-08-01,ACT-LOAD,292591.84,,,,,,,Planning-SIM
PLAN-0053,2026,11,2026-08-01,ACT-DEV,930.67,,,,,,,Planning-SIM
PLAN-0054,2026,11,2026-08-01,ACT-GS,800.08,,,,,,,Planning-SIM
PLAN-0055,2026,11,2026-08-01,ACT-AUX,642.21,,,,,,,Planning-SIM
PLAN-0056,2026,12,2026-09-01,ACT-HAUL,395775.51,0.9,0.72,0.82,0.92,92.0,7911.62,Planning-SIM
PLAN-0057,2026,12,2026-09-01,ACT-LOAD,296204.08,,,,,,,Planning-SIM
PLAN-0058,2026,12,2026-09-01,ACT-DEV,942.16,,,,,,,Planning-SIM
PLAN-0059,2026,12,2026-09-01,ACT-GS,809.96,,,,,,,Planning-SIM
PLAN-0060,2026,12,2026-09-01,ACT-AUX,650.14,,,,,,,Planning-SIM
