ProductionEventID,EventTimestamp,DateKey,UnitCode,ShiftKey,ClockHour,HourOfShift,AreaID,ActivityID,Quantity,UnitOfMeasure,EventDurationMinutes,HaulDistanceKm,RoadConditionIndex,CongestionIndex,PayloadTonnes,MaterialType,SourceSystem
P-0129307,2025-10-01 00:00:00,20251001,BT-006,NIGHT-B,0,6,A03,ACT-GS,1.123,bolts,33.65,,,,,,DeswikOps-SIM
P-0102610,2025-10-01 00:00:00,20251001,LH-007,NIGHT-B,0,6,A01,ACT-LOAD,130.284,t,14.56,0.569,0.577,0.242,130.284,Ore,Pitram-SIM
P-0000001,2025-10-01 00:00:00,20251001,TR-001,NIGHT-B,0,6,A01,ACT-HAUL,44.215,t,35.2,1.976,0.895,0.169,44.215,Ore,Pitram-SIM
P-0016928,2025-10-01 00:00:00,20251001,TR-003,NIGHT-B,0,6,A01,ACT-HAUL,47.635,t,26.9,1.871,0.763,0.207,47.635,Ore,Pitram-SIM
P-0041902,2025-10-01 00:00:00,20251001,TR-006,NIGHT-B,0,6,A01,ACT-HAUL,47.757,t,25.3,1.65,0.779,0.282,47.757,Ore,Pitram-SIM
P-0050365,2025-10-01 00:00:00,20251001,TR-007,NIGHT-B,0,6,A01,ACT-HAUL,41.061,t,28.1,1.719,0.808,0.281,41.061,Ore,Pitram-SIM
P-0083922,2025-10-01 00:00:00,20251001,TR-011,NIGHT-B,0,6,A01,ACT-HAUL,47.639,t,35.5,1.971,0.809,0.273,47.639,Ore,Pitram-SIM
P-0136776,2025-10-01 00:00:00,20251001,UV-003,NIGHT-B,0,6,A04,ACT-AUX,0.996,trips,38.56,,,,,,DeswikOps-SIM
P-0135957,2025-10-01 00:00:00,20251001,UV-004,NIGHT-B,0,6,A04,ACT-AUX,1.019,trips,39.23,,,,,,DeswikOps-SIM
P-0105427,2025-10-01 00:30:00,20251001,LH-003,NIGHT-B,0,6,A01,ACT-LOAD,150.829,t,28.23,1.059,0.611,0.369,150.829,Ore,Pitram-SIM
P-0113768,2025-10-01 00:30:00,20251001,LH-006,NIGHT-B,0,6,A01,ACT-LOAD,160.028,t,37.29,0.086,0.808,0.424,160.028,Ore,Pitram-SIM
P-0000002,2025-10-01 00:30:00,20251001,TR-001,NIGHT-B,0,6,A01,ACT-HAUL,40.332,t,26.73,1.765,0.844,0.142,40.332,Ore,Pitram-SIM
P-0016929,2025-10-01 00:30:00,20251001,TR-003,NIGHT-B,0,6,A01,ACT-HAUL,53.599,t,23.67,1.843,0.907,0.169,53.599,Ore,Pitram-SIM
P-0041903,2025-10-01 00:30:00,20251001,TR-006,NIGHT-B,0,6,A01,ACT-HAUL,42.139,t,36.38,2.299,0.778,0.141,42.139,Ore,Pitram-SIM
P-0050366,2025-10-01 00:30:00,20251001,TR-007,NIGHT-B,0,6,A01,ACT-HAUL,45.259,t,29.44,2.057,0.815,0.041,45.259,Ore,Pitram-SIM
P-0067529,2025-10-01 00:30:00,20251001,TR-009,NIGHT-B,0,6,A01,ACT-HAUL,44.344,t,33.26,2.075,0.786,0.154,44.344,Ore,Pitram-SIM
P-0083923,2025-10-01 00:30:00,20251001,TR-011,NIGHT-B,0,6,A01,ACT-HAUL,45.931,t,31.1,2.141,0.768,0.024,45.931,Ore,Pitram-SIM
P-0108005,2025-10-01 01:00:00,20251001,LH-002,NIGHT-B,1,7,A01,ACT-LOAD,159.489,t,9.99,0.835,0.99,0.284,159.489,Ore,Pitram-SIM
