RosterRecordID,DateKey,ShiftKey,UnitCode,CrewName,OperatorAssigned,OperatorSkillIndex,PlannedAreaID,SourceSystem
RR-0000001,20251001,DAY-A,TR-001,Day A,1,0.876,A01,Roster-SIM
RR-0000002,20251001,DAY-A,TR-002,Day A,1,0.786,A01,Roster-SIM
RR-0000003,20251001,DAY-A,TR-003,Day A,1,0.778,A01,Roster-SIM
RR-0000004,20251001,DAY-A,TR-004,Day A,1,0.799,A01,Roster-SIM
RR-0000005,20251001,DAY-A,TR-005,Day A,1,0.854,A01,Roster-SIM
RR-0000006,20251001,DAY-A,TR-006,Day A,1,0.98,A01,Roster-SIM
RR-0000007,20251001,DAY-A,TR-007,Day A,1,0.738,A01,Roster-SIM
RR-0000008,20251001,DAY-A,TR-008,Day A,1,0.824,A01,Roster-SIM
RR-0000009,20251001,DAY-A,TR-009,Day A,1,0.862,A01,Roster-SIM
RR-0000010,20251001,DAY-A,TR-010,Day A,1,0.752,A01,Roster-SIM
RR-0000011,20251001,DAY-A,TR-011,Day A,1,0.954,A01,Roster-SIM
RR-0000012,20251001,DAY-A,TR-012,Day A,1,0.771,A01,Roster-SIM
RR-0000013,20251001,DAY-A,LH-001,Day A,1,0.852,A01,Roster-SIM
RR-0000014,20251001,DAY-A,LH-002,Day A,1,0.756,A01,Roster-SIM
RR-0000015,20251001,DAY-A,LH-003,Day A,1,0.856,A01,Roster-SIM
RR-0000016,20251001,DAY-A,LH-004,Day A,1,0.847,A01,Roster-SIM
RR-0000017,20251001,DAY-A,LH-005,Day A,1,0.78,A01,Roster-SIM
RR-0000018,20251001,DAY-A,LH-006,Day A,1,0.837,A01,Roster-SIM
RR-0000019,20251001,DAY-A,LH-007,Day A,1,0.844,A01,Roster-SIM
RR-0000020,20251001,DAY-A,LH-008,Day A,1,1.0,A01,Roster-SIM
RR-0000021,20251001,DAY-A,JD-001,Day A,1,0.867,A02,Roster-SIM
RR-0000022,20251001,DAY-A,JD-002,Day A,1,0.856,A02,Roster-SIM
RR-0000023,20251001,DAY-A,JD-003,Day A,1,0.713,A02,Roster-SIM
RR-0000024,20251001,DAY-A,JD-004,Day A,1,0.829,A02,Roster-SIM
RR-0000025,20251001,DAY-A,JD-005,Day A,1,0.997,A02,Roster-SIM
RR-0000026,20251001,DAY-A,JD-006,Day A,1,0.747,A02,Roster-SIM
RR-0000027,20251001,DAY-A,BT-001,Day A,1,0.825,A03,Roster-SIM
RR-0000028,20251001,DAY-A,BT-002,Day A,1,1.0,A03,Roster-SIM
RR-0000029,20251001,DAY-A,BT-003,Day A,1,0.837,A03,Roster-SIM
